Trade Date,High/Low Price (%),High/Low Yield (%),Trade Count,Total Trade Amount ($)
04/28/2025,47.73 / 47.73,-,1,1623
04/24/2025,46.35 / 46.149,-,3,3246
04/23/2025,20 / 20,-,1,406
04/10/2025,20 / 20,-,2,812
02/13/2025,58.5 / 57.5,-,7,14688
01/22/2025,69 / 69,-,1,11832
01/21/2025,67.35 / 67.15,-,4,23664
01/16/2025,62.15 / 61.03,-,5,35496
12/17/2024,71.65 / 70.4,-,3,75000
10/28/2024,77.25 / 75.65,-,3,110000
10/22/2024,65.25 / 64.95,-,4,18360
09/24/2024,62 / 62,-,1,272
08/28/2024,63 / 63,-,1,1224
08/26/2024,62 / 60,-,5,3672
08/16/2024,74.405 / 74.405,-,1,272
07/09/2024,74.755 / 74.405,-,4,249732
05/15/2024,75.55 / 74.49,-,5,735000
05/10/2024,74.725 / 72.9,-,2,180000
04/08/2024,76.9 / 75.65,-,9,2040000
03/27/2024,79.25 / 79,-,4,31800000
03/14/2024,73 / 73,-,1,140000
03/13/2024,73.694 / 71.105,-,3,420000
03/04/2024,60.5 / 58,-,6,4896
01/31/2024,75.75 / 75.5,-,2,4000000
01/08/2024,75.375 / 75.125,-,3,37000000
12/15/2023,74.375 / 74,-,3,20510000
12/12/2023,63.01 / 62.51,-,3,6000
12/05/2023,71.625 / 71.625,-,1,4000000
11/29/2023,70.75 / 70.75,-,1,4000000
11/22/2023,72.75 / 71,-,2,70000
10/30/2023,65.5 / 65.5,-,1,250000
10/16/2023,69 / 69,-,1,60000
09/29/2023,71.5 / 70.5,-,3,1070000
09/28/2023,70 / 70,-,1,2000000
08/15/2023,73.25 / 72.974,-,3,3000000
07/31/2023,75 / 75,-,1,20000
07/26/2023,75.375 / 75.125,-,2,5000000
07/18/2023,77.9 / 77.9,-,2,85000
07/17/2023,77.9 / 75.25,-,10,19135000
07/14/2023,77.9 / 76,-,2,380000
07/13/2023,76.85 / 76.85,-,2,300000
07/12/2023,75 / 75,-,1,300000
07/11/2023,74.25 / 73.5,-,3,7000000
07/05/2023,76.15 / 76.15,-,4,205000
06/30/2023,76.35 / 74.5,-,12,1095000
05/26/2023,72 / 70.75,-,4,21000000
05/15/2023,76.5 / 76.5,-,1,1000000
05/03/2023,74.625 / 74.25,-,4,14500000
04/06/2023,75 / 74,-,2,14000000
03/30/2023,73.5 / 72.75,-,7,39000000
03/29/2023,72.5 / 72.5,-,1,15000000
03/20/2023,72 / 72,-,1,2500000
03/09/2023,71.75 / 61.85,-,4,32560000
