PERMNO,date,TICKER,COMNAM,NWPERM,DLPRC,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,RETX
12079,1/2/90,GM,GENERAL MOTORS CORP,,,42.125,44.75,44.5,1052900,0.053254,,,,0.053254
12079,1/3/90,GM,GENERAL MOTORS CORP,,,44,44.75,44.25,1239400,-0.005618,,,,-0.005618
12079,1/4/90,GM,GENERAL MOTORS CORP,,,43.625,44.125,44.125,810800,-0.002825,,,,-0.002825
12079,1/5/90,GM,GENERAL MOTORS CORP,,,42.875,44.125,43.5,846000,-0.014164,,,,-0.014164
12079,1/8/90,GM,GENERAL MOTORS CORP,,,43.25,44,43.625,769900,0.002874,,,,0.002874
12079,1/9/90,GM,GENERAL MOTORS CORP,,,43.625,44.375,43.875,857300,0.005731,,,,0.005731
12079,1/10/90,GM,GENERAL MOTORS CORP,,,42.625,43.75,43.5,1342100,-0.008547,,,,-0.008547
12079,1/11/90,GM,GENERAL MOTORS CORP,,,43.25,43.875,43.375,723900,-0.002874,,,,-0.002874
12079,1/12/90,GM,GENERAL MOTORS CORP,,,41.25,43.375,41.625,1310600,-0.040346,,,,-0.040346
12079,1/15/90,GM,GENERAL MOTORS CORP,,,41.125,41.875,41.25,796700,-0.009009,,,,-0.009009
12079,1/16/90,GM,GENERAL MOTORS CORP,,,41.125,42.625,42.5,1147700,0.030303,,,,0.030303
12079,1/17/90,GM,GENERAL MOTORS CORP,,,41.625,42.625,42,1465800,-0.011765,,,,-0.011765
12079,1/18/90,GM,GENERAL MOTORS CORP,,,41.375,42.25,42.125,1265100,0.002976,,,,0.002976
12079,1/19/90,GM,GENERAL MOTORS CORP,,,41.875,42.5,42.5,1411700,0.008902,,,,0.008902
12079,1/22/90,GM,GENERAL MOTORS CORP,,,41,42.25,41.25,1125200,-0.029412,,,,-0.029412
12079,1/23/90,GM,GENERAL MOTORS CORP,,,40.75,41.625,41.25,1485600,0,,,,0
