PERMNO,date,TICKER,COMNAM,NWPERM,DLPRC,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,RETX
25785,1/2/90,F,FORD MOTOR CO DEL,,,43.5,45.25,45.25,1139000,0.037249,,,,0.037249
25785,1/3/90,F,FORD MOTOR CO DEL,,,45.25,45.875,45.5,1465700,0.005525,,,,0.005525
25785,1/4/90,F,FORD MOTOR CO DEL,,,45.125,45.75,45.5,717600,0,,,,0
25785,1/5/90,F,FORD MOTOR CO DEL,,,44.875,45.75,44.875,697200,-0.013736,,,,-0.013736
25785,1/8/90,F,FORD MOTOR CO DEL,,,44.5,45,44.875,613300,0,,,,0
25785,1/9/90,F,FORD MOTOR CO DEL,,,44.125,45.125,44.125,963500,-0.016713,,,,-0.016713
25785,1/10/90,F,FORD MOTOR CO DEL,,,43.875,44.5,44.5,538400,0.008499,,,,0.008499
25785,1/11/90,F,FORD MOTOR CO DEL,,,44.75,45.375,45,545100,0.011236,,,,0.011236
25785,1/12/90,F,FORD MOTOR CO DEL,,,43.75,44.625,43.75,586500,-0.027778,,,,-0.027778
25785,1/15/90,F,FORD MOTOR CO DEL,,,43.125,43.875,43.25,731900,-0.011429,,,,-0.011429
25785,1/16/90,F,FORD MOTOR CO DEL,,,42.875,45.125,45,718200,0.040462,,,,0.040462
25785,1/17/90,F,FORD MOTOR CO DEL,,,44,45.125,44.25,515000,-0.016667,,,,-0.016667
25785,1/18/90,F,FORD MOTOR CO DEL,,,43.75,44.5,44.25,909900,0,,,,0
25785,1/19/90,F,FORD MOTOR CO DEL,,,44.5,45,44.625,743000,0.008475,,,,0.008475
25785,1/22/90,F,FORD MOTOR CO DEL,,,43.5,44.75,43.5,711000,-0.02521,,,,-0.02521
25785,1/23/90,F,FORD MOTOR CO DEL,,,43.5,44.25,44,1209200,0.011494,,,,0.011494
25785,1/24/90,F,FORD MOTOR CO DEL,,,42,42.5,42.25,1086500,-0.022727,,,,-0.039773
25785,1/25/90,F,FORD MOTOR CO DEL,,,41.75,42.875,41.75,883900,-0.011834,,,,-0.011834
25785,1/26/90,F,FORD MOTOR CO DEL,,,41.5,42.5,42.375,660000,0.01497,,,,0.01497
25785,1/29/90,F,FORD MOTOR CO DEL,,,41.5,43.125,42.625,774900,0.0059,,,,0.0059
25785,1/30/90,F,FORD MOTOR CO DEL,,,41.75,42.875,42.5,500500,-0.002933,,,,-0.002933
25785,1/31/90,F,FORD MOTOR CO DEL,,,42.75,43.375,43.125,1023900,0.014706,,,,0.014706
25785,2/1/90,F,FORD MOTOR CO DEL,,,42.375,43.125,42.75,554100,-0.008696,,,,-0.008696
25785,2/2/90,F,FORD MOTOR CO DEL,,,42.25,43.25,43.125,819300,0.008772,,,,0.008772
25785,2/5/90,F,FORD MOTOR CO DEL,,,42.625,43.5,43.5,375600,0.008696,,,,0.008696
25785,2/6/90,F,FORD MOTOR CO DEL,,,42.875,43.375,42.875,451600,-0.014368,,,,-0.014368
25785,2/7/90,F,FORD MOTOR CO DEL,,,42.5,45,44.875,855100,0.046647,,,,0.046647
25785,2/8/90,F,FORD MOTOR CO DEL,,,43.625,45,44,782000,-0.019499,,,,-0.019499
25785,2/9/90,F,FORD MOTOR CO DEL,,,43.375,44,44,441700,0,,,,0
25785,2/12/90,F,FORD MOTOR CO DEL,,,43.625,44.625,44,553100,0,,,,0
25785,2/13/90,F,FORD MOTOR CO DEL,,,43.625,44.5,44.125,484400,0.002841,,,,0.002841
25785,2/14/90,F,FORD MOTOR CO DEL,,,44.125,44.75,44.625,425900,0.011331,,,,0.011331
25785,2/15/90,F,FORD MOTOR CO DEL,,,44.5,45.5,45.25,1180100,0.014006,,,,0.014006
25785,2/16/90,F,FORD MOTOR CO DEL,,,44.375,45.125,44.375,1002200,-0.019337,,,,-0.019337
25785,2/20/90,F,FORD MOTOR CO DEL,,,43.75,44.25,44,701900,-0.008451,,,,-0.008451
25785,2/21/90,F,FORD MOTOR CO DEL,,,43.25,45.375,45.25,663800,0.028409,,,,0.028409
25785,2/22/90,F,FORD MOTOR CO DEL,,,44.625,45.625,44.625,573300,-0.013812,,,,-0.013812
25785,2/23/90,F,FORD MOTOR CO DEL,,,44.375,45.125,44.75,534600,0.002801,,,,0.002801
25785,2/26/90,F,FORD MOTOR CO DEL,,,44.375,46,45.875,678800,0.02514,,,,0.02514
25785,2/27/90,F,FORD MOTOR CO DEL,,,46,47,46.125,1039100,0.00545,,,,0.00545
25785,2/28/90,F,FORD MOTOR CO DEL,,,45.75,46.75,46,892000,-0.00271,,,,-0.00271
25785,3/1/90,F,FORD MOTOR CO DEL,,,45.625,46.5,45.875,694000,-0.002717,,,,-0.002717
25785,3/2/90,F,FORD MOTOR CO DEL,,,45.875,47.25,47.125,1355200,0.027248,,,,0.027248
25785,3/5/90,F,FORD MOTOR CO DEL,,,46.5,47,46.875,1123200,-0.005305,,,,-0.005305
25785,3/6/90,F,FORD MOTOR CO DEL,,,46.875,47.625,47.625,856100,0.016,,,,0.016
25785,3/7/90,F,FORD MOTOR CO DEL,,,46.875,47.875,47.125,666700,-0.010499,,,,-0.010499
25785,3/8/90,F,FORD MOTOR CO DEL,,,46.875,47.625,47.625,491000,0.01061,,,,0.01061
25785,3/9/90,F,FORD MOTOR CO DEL,,,47.125,47.625,47.375,710400,-0.005249,,,,-0.005249
25785,3/12/90,F,FORD MOTOR CO DEL,,,47,48.125,48,916900,0.013193,,,,0.013193
25785,3/13/90,F,FORD MOTOR CO DEL,,,47.75,48.75,48.125,864800,0.002604,,,,0.002604
25785,3/14/90,F,FORD MOTOR CO DEL,,,47.5,48.125,47.625,587300,-0.01039,,,,-0.01039
25785,3/15/90,F,FORD MOTOR CO DEL,,,47,47.875,47.875,735100,0.005249,,,,0.005249
25785,3/16/90,F,FORD MOTOR CO DEL,,,48.125,48.75,48.625,1147000,0.015666,,,,0.015666
25785,3/19/90,F,FORD MOTOR CO DEL,,,47.75,48.5,48.25,546800,-0.007712,,,,-0.007712
25785,3/20/90,F,FORD MOTOR CO DEL,,,47.875,48.5,48.5,725900,0.005181,,,,0.005181
25785,3/21/90,F,FORD MOTOR CO DEL,,,48,48.875,48,728000,-0.010309,,,,-0.010309
25785,3/22/90,F,FORD MOTOR CO DEL,,,47.5,48.5,48.5,1747800,0.010417,,,,0.010417
25785,3/23/90,F,FORD MOTOR CO DEL,,,48.25,48.875,48.25,558200,-0.005155,,,,-0.005155
25785,3/26/90,F,FORD MOTOR CO DEL,,,48.5,49.125,48.5,621200,0.005181,,,,0.005181
25785,3/27/90,F,FORD MOTOR CO DEL,,,48,48.75,48.75,621000,0.005155,,,,0.005155
25785,3/28/90,F,FORD MOTOR CO DEL,,,48.5,48.875,48.75,430900,0,,,,0
25785,3/29/90,F,FORD MOTOR CO DEL,,,47.75,48.625,48,463800,-0.015385,,,,-0.015385
25785,3/30/90,F,FORD MOTOR CO DEL,,,47.125,47.875,47.25,553600,-0.015625,,,,-0.015625
25785,4/2/90,F,FORD MOTOR CO DEL,,,46.625,47.5,47.375,721800,0.002646,,,,0.002646
25785,4/3/90,F,FORD MOTOR CO DEL,,,47,48,47.875,502200,0.010554,,,,0.010554
