PERMNO,date,VOL,RET,BID,ASK
25785,1970-01-02,50200,0.027356,,
25785,1970-01-05,20800,-0.005917,,
25785,1970-01-06,45900,-0.011905,,
25785,1970-01-07,31200,-0.003012,,
25785,1970-01-08,14700,0.003021,,
25785,1970-01-09,20100,0.000000,,
25785,1970-01-12,28400,-0.015060,,
25785,1970-01-13,17600,0.003058,,
25785,1970-01-14,25400,-0.003049,,
25785,1970-01-15,19400,-0.003058,,
25785,1970-01-16,23200,0.000000,,
25785,1970-01-19,26800,-0.018405,,
25785,1970-01-20,29700,0.012500,,
25785,1970-01-21,12800,0.000000,,
25785,1970-01-22,22800,0.000000,,
25785,1970-01-23,31700,-0.003704,,
25785,1970-01-26,21800,-0.006289,,
25785,1970-01-27,44800,-0.034810,,
25785,1970-01-28,24700,-0.003279,,
25785,1970-01-29,30100,-0.016447,,
25785,1970-01-30,52000,-0.003344,,
25785,1970-02-02,93700,0.016779,,
25785,1970-02-03,50100,0.013201,,
25785,1970-02-04,42400,-0.003257,,
25785,1970-02-05,21100,-0.013072,,
25785,1970-02-06,15800,0.016556,,
25785,1970-02-09,22200,0.029316,,
25785,1970-02-10,10900,-0.003165,,
25785,1970-02-11,26000,0.003175,,
25785,1970-02-12,11300,-0.012658,,
25785,1970-02-13,12600,-0.012821,,
25785,1970-02-16,18800,-0.003247,,
25785,1970-02-17,13200,0.000000,,
25785,1970-02-18,15600,0.013029,,
25785,1970-02-19,19400,0.019293,,
25785,1970-02-20,20800,0.006309,,
25785,1970-02-24,15300,0.000000,,
25785,1970-02-25,14400,0.040752,,
25785,1970-02-26,13800,-0.006024,,
25785,1970-02-27,14500,0.027273,,
25785,1970-03-02,19100,0.002950,,
25785,1970-03-03,17600,0.023529,,
25785,1970-03-04,26700,0.005747,,
25785,1970-03-05,19600,0.002857,,
25785,1970-03-06,13000,-0.014245,,
25785,1970-03-09,16700,-0.014451,,
25785,1970-03-10,13400,0.002933,,
25785,1970-03-11,25000,-0.005848,,
25785,1970-03-12,8700,0.011765,,
25785,1970-03-13,25700,0.005814,,
25785,1970-03-16,15100,-0.008671,,
25785,1970-03-17,26300,0.002915,,
25785,1970-03-18,19300,-0.002907,,
25785,1970-03-19,19100,0.014577,,
25785,1970-03-20,22900,0.017241,,
25785,1970-03-23,30400,0.011299,,
25785,1970-03-24,30900,0.036313,,
25785,1970-03-25,75200,0.016173,,
25785,1970-03-26,25300,-0.007958,,
25785,1970-03-30,16800,-0.013369,,
25785,1970-03-31,21100,-0.008130,,
25785,1970-04-01,12400,0.010929,,
25785,1970-04-02,16800,0.008108,,
25785,1970-04-03,17200,-0.005362,,
25785,1970-04-06,30300,0.002695,,
25785,1970-04-07,17200,0.016129,,
25785,1970-04-08,16100,-0.013228,,
25785,1970-04-09,22100,0.010724,,
25785,1970-04-10,24000,-0.002653,,
25785,1970-04-13,21800,-0.007979,,
25785,1970-04-14,40300,-0.016086,,
25785,1970-04-15,14700,0.002725,,
25785,1970-04-16,17300,-0.005435,,
25785,1970-04-17,21900,-0.008197,,
25785,1970-04-20,13300,0.002755,,
25785,1970-04-21,29800,-0.005495,,
25785,1970-04-22,40400,-0.008287,,
25785,1970-04-23,36800,-0.027855,,
25785,1970-04-24,38900,-0.009169,,
25785,1970-04-27,20000,-0.029326,,
25785,1970-04-28,24300,-0.015106,,
25785,1970-04-29,47700,0.042945,,
25785,1970-04-30,26700,0.000000,,
25785,1970-05-01,17200,-0.020588,,
25785,1970-05-04,29000,-0.015015,,
25785,1970-05-05,16000,0.012195,,
25785,1970-05-06,66400,0.003012,,
25785,1970-05-07,27600,0.027027,,
25785,1970-05-08,9200,0.000000,,
25785,1970-05-11,22300,-0.014620,,
25785,1970-05-12,36700,0.005935,,
25785,1970-05-13,47700,-0.011799,,
25785,1970-05-14,41400,-0.008955,,
25785,1970-05-15,60500,0.000000,,
25785,1970-05-18,183300,-0.012048,,
25785,1970-05-19,22300,-0.021341,,
25785,1970-05-20,26200,-0.021807,,
25785,1970-05-21,26000,-0.006369,,
25785,1970-05-22,18800,0.022436,,
25785,1970-05-25,30400,-0.012539,,
25785,1970-05-26,28700,0.003175,,
25785,1970-05-27,35900,0.031646,,
25785,1970-05-28,53300,0.015337,,
25785,1970-05-29,31700,0.018127,,
25785,1970-06-01,27100,0.029674,,
25785,1970-06-02,46500,0.017291,,
25785,1970-06-03,31900,0.005666,,
25785,1970-06-04,30500,-0.002817,,
25785,1970-06-05,21200,-0.039548,,
25785,1970-06-08,14600,0.005882,,
25785,1970-06-09,12100,0.005848,,
25785,1970-06-10,14100,-0.002907,,
25785,1970-06-11,9300,-0.008746,,
25785,1970-06-12,14900,0.000000,,
25785,1970-06-15,11200,-0.011765,,
25785,1970-06-16,27400,0.044643,,
25785,1970-06-17,18700,0.000000,,
25785,1970-06-18,22900,0.002849,,
25785,1970-06-19,18600,-0.002841,,
25785,1970-06-22,15900,-0.005698,,
25785,1970-06-23,27300,-0.020057,,
25785,1970-06-24,20300,-0.002924,,
25785,1970-06-25,20000,0.011730,,
25785,1970-06-26,14200,0.005797,,
25785,1970-06-29,13400,0.000000,,
25785,1970-06-30,17600,0.011527,,
25785,1970-07-01,15400,-0.002849,,
25785,1970-07-02,19200,-0.008571,,
25785,1970-07-06,27000,-0.025937,,
25785,1970-07-07,14900,-0.002959,,
25785,1970-07-08,9100,0.002967,,
25785,1970-07-09,37100,0.032544,,
25785,1970-07-10,31100,0.011461,,
25785,1970-07-13,13600,-0.014164,,
25785,1970-07-14,14100,-0.011494,,
25785,1970-07-15,22500,0.037791,,
25785,1970-07-16,42400,0.028011,,
25785,1970-07-17,50000,0.008174,,
25785,1970-07-20,26600,-0.008108,,
25785,1970-07-21,27100,-0.019074,,
25785,1970-07-22,28700,0.000000,,
25785,1970-07-23,20200,0.016667,,
25785,1970-07-24,18400,-0.002732,,
25785,1970-07-27,15400,0.004932,,
25785,1970-07-28,13500,0.002762,,
25785,1970-07-29,33400,-0.011019,,
25785,1970-07-30,25400,-0.005571,,
25785,1970-07-31,24800,0.008403,,
25785,1970-08-03,14000,0.000000,,
25785,1970-08-04,14700,0.002778,,
25785,1970-08-05,14800,0.005540,,
25785,1970-08-06,21700,0.008264,,
25785,1970-08-07,37000,0.000000,,
25785,1970-08-10,10300,-0.002732,,
25785,1970-08-11,22400,0.002740,,
25785,1970-08-12,20600,0.002732,,
25785,1970-08-13,13700,0.002725,,
25785,1970-08-14,15600,0.010870,,
25785,1970-08-17,21900,0.008065,,
25785,1970-08-18,36000,0.002667,,
25785,1970-08-19,15700,0.000000,,
25785,1970-08-20,19800,0.002660,,
25785,1970-08-21,59600,0.029178,,
25785,1970-08-24,52800,0.010309,,
25785,1970-08-25,35900,-0.007653,,
25785,1970-08-26,24700,0.002571,,
25785,1970-08-27,17200,-0.005128,,
25785,1970-08-28,53900,0.015464,,
25785,1970-08-31,31600,0.000000,,
25785,1970-09-01,35600,-0.025381,,
25785,1970-09-02,76100,0.000000,,
25785,1970-09-03,61000,0.020833,,
25785,1970-09-04,86600,0.017857,,
25785,1970-09-08,34300,-0.017544,,
25785,1970-09-09,58600,0.000000,,
25785,1970-09-10,27800,0.005102,,
25785,1970-09-11,66100,0.022843,,
25785,1970-09-14,43900,-0.009926,,
25785,1970-09-15,71900,-0.010025,,
25785,1970-09-16,38100,-0.005063,,
25785,1970-09-17,39200,0.007634,,
25785,1970-09-18,36700,0.010101,,
25785,1970-09-21,25600,-0.007500,,
25785,1970-09-22,44200,-0.007557,,
25785,1970-09-23,22000,0.010152,,
25785,1970-09-24,64000,0.012563,,
25785,1970-09-25,29100,0.004963,,
25785,1970-09-28,27200,0.004938,,
25785,1970-09-29,52300,0.027027,,
25785,1970-09-30,17200,-0.009569,,
25785,1970-10-01,20500,-0.004831,,
25785,1970-10-02,29100,0.007282,,
25785,1970-10-05,41500,0.014458,,
25785,1970-10-06,51300,0.004751,,
25785,1970-10-07,62700,-0.002364,,
25785,1970-10-08,31600,-0.004739,,
25785,1970-10-09,29000,-0.011905,,
25785,1970-10-12,21100,-0.016867,,
25785,1970-10-13,38700,-0.002451,,
25785,1970-10-14,54500,0.012285,,
25785,1970-10-15,23900,-0.002427,,
25785,1970-10-16,50700,-0.007299,,
25785,1970-10-19,16200,0.002451,,
25785,1970-10-20,8900,-0.007335,,
25785,1970-10-21,15500,-0.007389,,
25785,1970-10-22,9600,0.000000,,
25785,1970-10-23,21800,-0.010422,,
25785,1970-10-26,14000,-0.012690,,
25785,1970-10-27,20300,0.002571,,
25785,1970-10-28,41800,0.007692,,
25785,1970-10-29,30300,0.012723,,
25785,1970-10-30,23700,0.000000,,
25785,1970-11-02,24700,0.000000,,
25785,1970-11-03,53700,0.015075,,
25785,1970-11-04,60200,0.017327,,
25785,1970-11-05,22400,-0.004866,,
25785,1970-11-06,14900,-0.004890,,
25785,1970-11-09,23600,0.012285,,
25785,1970-11-10,47100,-0.012136,,
25785,1970-11-11,43400,-0.004914,,
25785,1970-11-12,29500,-0.034568,,
25785,1970-11-13,37100,-0.010230,,
25785,1970-11-16,19300,0.005168,,
25785,1970-11-17,65600,0.005141,,
25785,1970-11-18,20100,-0.012788,,
25785,1970-11-19,15800,-0.005181,,
25785,1970-11-20,19600,0.028646,,
25785,1970-11-23,30100,-0.002532,,
25785,1970-11-24,46300,0.035533,,
25785,1970-11-25,20600,-0.007353,,
25785,1970-11-27,31500,0.007407,,
25785,1970-11-30,64800,0.017157,,
25785,1970-12-01,76900,0.012048,,
25785,1970-12-02,67000,0.016667,,
25785,1970-12-03,48500,-0.009368,,
25785,1970-12-04,42900,0.009456,,
25785,1970-12-07,75100,0.023419,,
25785,1970-12-08,59300,-0.006865,,
25785,1970-12-09,30600,0.009217,,
25785,1970-12-10,50300,-0.009132,,
25785,1970-12-11,18200,-0.006912,,
25785,1970-12-14,43000,0.002320,,
25785,1970-12-15,32900,0.000000,,
25785,1970-12-16,46000,0.011574,,
25785,1970-12-17,47100,0.000000,,
25785,1970-12-18,17700,0.000000,,
25785,1970-12-21,23800,0.000000,,
25785,1970-12-22,26400,0.002288,,
25785,1970-12-23,25800,0.002283,,
25785,1970-12-24,16900,0.000000,,
25785,1970-12-28,20500,0.002278,,
25785,1970-12-29,49700,0.018182,,
25785,1970-12-30,38100,0.004464,,
