"Date","Price","Open","High","Low","Vol.","Change %"
"10/29/2010","2.523","2.488","2.535","2.475","15.10M","0.92%"
"10/28/2010","2.500","2.477","2.523","2.465","16.94M","1.26%"
"10/27/2010","2.469","2.496","2.510","2.457","18.53M","-1.75%"
"10/26/2010","2.513","2.531","2.554","2.496","16.28M","-1.06%"
"10/25/2010","2.540","2.546","2.558","2.510","18.94M","0.83%"
"10/22/2010","2.519","2.540","2.562","2.513","21.37M","-0.83%"
"10/21/2010","2.540","2.434","2.548","2.432","39.65M","4.44%"
"10/20/2010","2.432","2.411","2.442","2.398","12.64M","0.70%"
"10/19/2010","2.415","2.440","2.473","2.413","17.91M","-0.70%"
"10/18/2010","2.432","2.442","2.457","2.415","16.46M","-0.65%"
"10/15/2010","2.448","2.427","2.473","2.413","20.03M","1.12%"
"10/14/2010","2.421","2.469","2.473","2.411","17.41M","-1.55%"
"10/13/2010","2.459","2.448","2.492","2.444","31.69M","1.03%"
"10/12/2010","2.434","2.353","2.442","2.349","38.35M","2.74%"
"10/11/2010","2.369","2.336","2.371","2.334","15.92M","1.85%"
"10/08/2010","2.326","2.307","2.328","2.284","18.04M","0.74%"
"10/07/2010","2.309","2.286","2.315","2.272","16.82M","1.09%"
"10/06/2010","2.284","2.313","2.315","2.272","17.76M","-0.65%"
"10/05/2010","2.299","2.272","2.307","2.264","17.24M","1.10%"
"10/04/2010","2.274","2.340","2.349","2.266","24.86M","-2.57%"
"10/01/2010","2.334","2.369","2.380","2.324","28.39M","-0.64%"
"09/30/2010","2.349","2.270","2.382","2.255","41.08M","3.21%"
"09/29/2010","2.276","2.297","2.309","2.257","17.91M","-0.44%"
"09/28/2010","2.286","2.286","2.315","2.255","27.03M","-0.74%"
"09/27/2010","2.303","2.324","2.332","2.293","21.95M","-0.35%"
"09/24/2010","2.311","2.226","2.311","2.222","29.99M","3.03%"
"09/23/2010","2.243","2.282","2.286","2.212","22.42M","-0.71%"
"09/22/2010","2.259","2.293","2.326","2.232","39.28M","0.27%"
"09/21/2010","2.253","2.243","2.274","2.232","24.79M","0.09%"
"09/20/2010","2.251","2.185","2.255","2.183","40.99M","4.75%"
"09/17/2010","2.149","2.149","2.164","2.122","20.26M","1.46%"
"09/16/2010","2.118","2.152","2.172","2.106","27.99M","-2.22%"
"09/15/2010","2.166","2.172","2.185","2.114","24.20M","0.56%"
"09/14/2010","2.154","2.133","2.158","2.125","21.31M","1.60%"
"09/13/2010","2.120","2.125","2.135","2.102","14.99M","0.95%"
"09/10/2010","2.100","2.058","2.116","2.054","19.31M","1.35%"
"09/09/2010","2.072","2.042","2.091","2.032","20.84M","1.97%"
"09/08/2010","2.032","1.980","2.038","1.970","16.92M","1.85%"
"09/07/2010","1.995","2.025","2.032","1.986","17.69M","-2.49%"
"09/06/2010","2.046","2.087","2.089","2.046","9.57M","-1.25%"
"09/03/2010","2.072","2.066","2.102","2.042","20.32M","0.88%"
"09/02/2010","2.054","1.992","2.063","1.983","22.35M","2.60%"
"09/01/2010","2.002","1.926","2.003","1.904","17.80M","4.38%"
"08/31/2010","1.918","1.898","1.924","1.882","15.38M","-1.03%"
"08/30/2010","1.938","1.952","1.969","1.925","8.75M","-0.10%"
"08/27/2010","1.940","1.919","1.940","1.886","15.61M","0.99%"
"08/26/2010","1.921","1.898","1.937","1.888","16.78M","1.91%"
"08/25/2010","1.885","1.897","1.911","1.855","15.70M","-1.46%"
"08/24/2010","1.913","1.927","1.940","1.882","14.67M","-2.00%"
"08/23/2010","1.952","1.942","1.987","1.916","11.66M","0.31%"
"08/20/2010","1.946","1.988","1.997","1.940","13.60M","-2.26%"
"08/19/2010","1.991","2.045","2.052","1.982","17.30M","-2.07%"
"08/18/2010","2.033","2.015","2.042","2.002","14.02M","0.40%"
"08/17/2010","2.025","2.000","2.030","1.992","14.64M","1.86%"
"08/16/2010","1.988","1.976","2.007","1.960","14.53M","0.86%"
"08/13/2010","1.971","1.974","1.996","1.940","18.67M","0.46%"
"08/12/2010","1.962","1.973","2.001","1.925","22.11M","-1.36%"
"08/11/2010","1.989","2.077","2.077","1.983","24.17M","-4.88%"
"08/10/2010","2.091","2.073","2.106","2.057","15.10M","0.67%"
"08/09/2010","2.077","2.158","2.164","2.071","25.00M","-1.94%"
"08/06/2010","2.118","2.158","2.178","2.110","24.05M","-0.98%"
"08/05/2010","2.139","2.104","2.156","2.098","20.77M","2.05%"
"08/04/2010","2.096","2.114","2.129","2.072","17.21M","-0.95%"
"08/03/2010","2.116","2.043","2.120","2.034","24.32M","3.07%"
"08/02/2010","2.053","2.030","2.063","2.022","16.80M","0.69%"
"07/30/2010","2.039","2.041","2.063","2.015","18.19M","-0.59%"
"07/29/2010","2.051","2.034","2.069","2.020","20.23M","0.74%"
"07/28/2010","2.036","2.038","2.054","2.015","18.40M","0.05%"
"07/27/2010","2.035","2.072","2.072","2.026","19.45M","-1.26%"
"07/26/2010","2.061","2.052","2.064","2.008","19.53M","0.44%"
"07/23/2010","2.052","2.038","2.075","2.028","23.54M","0.20%"
"07/22/2010","2.048","2.002","2.071","1.998","37.57M","2.14%"
"07/21/2010","2.005","1.971","2.013","1.961","49.11M","6.71%"
"07/20/2010","1.879","1.928","1.944","1.835","28.80M","-2.03%"
"07/19/2010","1.918","1.906","1.937","1.879","15.65M","-0.10%"
"07/16/2010","1.920","1.927","1.961","1.890","21.83M","-0.31%"
"07/15/2010","1.926","1.926","1.986","1.912","29.73M","-1.03%"
"07/14/2010","1.946","1.950","1.963","1.916","22.45M","0.67%"
"07/13/2010","1.933","1.874","1.940","1.868","26.07M","3.54%"
"07/12/2010","1.867","1.833","1.889","1.831","17.62M","2.02%"
"07/09/2010","1.830","1.826","1.851","1.822","17.21M","1.22%"
"07/08/2010","1.808","1.788","1.824","1.782","18.24M","1.97%"
"07/07/2010","1.773","1.708","1.783","1.701","20.35M","2.66%"
"07/06/2010","1.727","1.694","1.754","1.688","16.38M","2.68%"
"07/05/2010","1.682","1.709","1.727","1.682","8.92M","-1.29%"
"07/02/2010","1.704","1.705","1.730","1.698","15.13M","0.41%"
"07/01/2010","1.697","1.734","1.761","1.692","19.17M","-3.96%"
"06/30/2010","1.767","1.759","1.799","1.726","17.82M","0.23%"
"06/29/2010","1.763","1.841","1.841","1.757","23.39M","-5.92%"
"06/28/2010","1.874","1.854","1.892","1.824","16.61M","1.90%"
"06/25/2010","1.839","1.900","1.902","1.819","20.78M","-2.39%"
"06/24/2010","1.884","1.934","1.953","1.876","17.30M","-2.64%"
"06/23/2010","1.935","1.963","1.981","1.924","16.12M","-1.93%"
"06/22/2010","1.973","1.981","1.991","1.932","16.63M","-1.15%"
"06/21/2010","1.996","1.992","2.021","1.982","14.38M","1.73%"
"06/18/2010","1.962","1.940","1.969","1.933","23.73M","1.92%"
"06/17/2010","1.925","1.907","1.944","1.893","18.68M","0.68%"
"06/16/2010","1.912","1.942","1.949","1.892","19.59M","-1.14%"
"06/15/2010","1.934","1.889","1.940","1.878","21.99M","1.04%"
"06/14/2010","1.914","1.880","1.923","1.874","22.49M","3.29%"
"06/11/2010","1.853","1.867","1.872","1.826","32.02M","0.11%"
"06/10/2010","1.851","1.775","1.858","1.764","27.00M","3.76%"
"06/09/2010","1.784","1.759","1.791","1.732","18.42M","2.35%"
"06/08/2010","1.743","1.786","1.793","1.719","20.76M","-1.80%"
"06/07/2010","1.775","1.753","1.809","1.734","17.70M","-0.56%"
"06/04/2010","1.785","1.858","1.863","1.774","21.91M","-3.15%"
"06/03/2010","1.843","1.854","1.890","1.831","24.97M","2.16%"
"06/02/2010","1.804","1.792","1.824","1.772","16.96M","-0.88%"
"06/01/2010","1.820","1.840","1.848","1.767","22.85M","-1.73%"
"05/31/2010","1.852","1.829","1.857","1.784","9.33M","1.76%"
"05/28/2010","1.820","1.853","1.855","1.811","19.32M","-0.60%"
"05/27/2010","1.831","1.744","1.831","1.740","27.41M","5.90%"
"05/26/2010","1.729","1.716","1.749","1.706","24.76M","2.79%"
"05/25/2010","1.682","1.721","1.734","1.649","33.85M","-5.61%"
"05/24/2010","1.782","1.807","1.815","1.750","18.88M","-0.72%"
"05/21/2010","1.795","1.749","1.798","1.718","39.56M","2.87%"
"05/20/2010","1.745","1.836","1.844","1.701","35.03M","-2.57%"
"05/19/2010","1.791","1.805","1.831","1.748","34.59M","-2.87%"
"05/18/2010","1.844","1.839","1.860","1.808","22.80M","1.88%"
"05/17/2010","1.810","1.823","1.854","1.784","30.78M","-2.95%"
"05/14/2010","1.865","1.956","1.960","1.861","26.24M","-5.47%"
"05/13/2010","1.973","1.977","2.002","1.962","19.52M","0.66%"
"05/12/2010","1.960","1.965","2.003","1.936","26.99M","-0.86%"
"05/11/2010","1.977","1.905","1.983","1.882","36.72M","2.22%"
"05/10/2010","1.934","1.865","1.934","1.844","40.37M","10.58%"
"05/07/2010","1.749","1.757","1.853","1.705","46.57M","-5.15%"
"05/06/2010","1.844","1.881","1.942","1.811","41.32M","-1.91%"
"05/05/2010","1.880","1.934","1.960","1.851","49.87M","-3.09%"
"05/04/2010","1.940","2.069","2.073","1.911","52.77M","-6.60%"
"05/03/2010","2.077","2.064","2.093","2.048","13.33M","0.63%"
"04/30/2010","2.064","2.104","2.125","2.058","22.78M","-1.62%"
"04/29/2010","2.098","2.081","2.106","2.052","29.33M","1.30%"
"04/28/2010","2.071","2.087","2.135","2.033","61.86M","-3.54%"
"04/27/2010","2.147","2.172","2.210","2.147","38.61M","-1.42%"
"04/26/2010","2.178","2.222","2.230","2.160","30.67M","-0.77%"
"04/23/2010","2.195","2.156","2.208","2.125","50.33M","2.71%"
"04/22/2010","2.137","2.216","2.249","2.135","85.78M","-2.82%"
"04/21/2010","2.199","2.189","2.249","2.050","138.08M","1.71%"
"04/20/2010","2.162","2.127","2.168","2.004","112.18M","9.30%"
"04/19/2010","1.978","1.990","2.036","1.977","27.65M","-3.18%"
"04/16/2010","2.043","2.044","2.073","2.033","36.40M","-0.54%"
"04/15/2010","2.054","2.042","2.065","2.029","36.56M","1.03%"
"04/14/2010","2.033","1.995","2.036","1.985","35.01M","2.37%"
"04/13/2010","1.986","2.013","2.016","1.981","36.42M","-1.83%"
"04/12/2010","2.023","2.022","2.042","2.013","22.88M","0.70%"
"04/09/2010","2.009","2.025","2.038","1.999","38.12M","0.25%"
"04/08/2010","2.004","2.003","2.029","1.976","27.45M","-0.94%"
"04/07/2010","2.023","2.063","2.066","2.021","28.93M","-2.13%"
"04/06/2010","2.067","2.026","2.069","2.018","21.45M","1.92%"
"04/01/2010","2.028","2.015","2.032","2.002","17.01M","1.40%"
"03/31/2010","2.000","1.982","2.019","1.978","20.15M","0.45%"
"03/30/2010","1.991","2.047","2.049","1.991","20.51M","-2.50%"
"03/29/2010","2.042","2.018","2.046","2.004","19.80M","0.94%"
"03/26/2010","2.023","2.062","2.083","2.006","30.81M","-2.22%"
"03/25/2010","2.069","2.025","2.075","2.013","36.98M","1.77%"
"03/24/2010","2.033","1.978","2.039","1.976","56.13M","4.26%"
"03/23/2010","1.950","1.930","1.954","1.925","20.15M","1.04%"
"03/22/2010","1.930","1.922","1.939","1.895","25.01M","-0.92%"
"03/19/2010","1.948","1.953","1.988","1.936","25.23M","-0.51%"
"03/18/2010","1.958","1.937","1.968","1.936","18.06M","0.31%"
"03/17/2010","1.952","1.971","1.973","1.948","18.06M","-0.20%"
"03/16/2010","1.956","1.962","1.969","1.944","21.23M","0.98%"
"03/15/2010","1.937","1.930","1.961","1.919","23.72M","-0.26%"
"03/12/2010","1.942","1.967","1.980","1.936","32.66M","-0.36%"
"03/11/2010","1.949","1.905","1.952","1.900","38.47M","1.88%"
"03/10/2010","1.913","1.854","1.913","1.836","32.29M","2.96%"
"03/09/2010","1.858","1.867","1.880","1.828","28.85M","-0.27%"
"03/08/2010","1.863","1.885","1.892","1.858","40.06M","0.65%"
"03/05/2010","1.851","1.789","1.859","1.778","39.95M","4.58%"
"03/04/2010","1.770","1.722","1.777","1.717","35.54M","1.78%"
"03/03/2010","1.739","1.710","1.750","1.689","34.69M","1.58%"
"03/02/2010","1.712","1.641","1.717","1.639","34.69M","3.95%"
"03/01/2010","1.647","1.619","1.656","1.588","24.79M","2.68%"
"02/26/2010","1.604","1.625","1.627","1.573","22.89M","0.00%"
"02/25/2010","1.604","1.619","1.656","1.587","21.21M","-2.14%"
"02/24/2010","1.639","1.649","1.655","1.593","30.54M","-0.79%"
"02/23/2010","1.652","1.706","1.727","1.642","26.11M","-3.45%"
"02/22/2010","1.711","1.747","1.763","1.710","23.45M","-0.98%"
"02/19/2010","1.728","1.664","1.731","1.660","30.07M","2.31%"
"02/18/2010","1.689","1.711","1.716","1.671","29.65M","-1.29%"
"02/17/2010","1.711","1.662","1.721","1.656","41.11M","4.65%"
"02/16/2010","1.635","1.642","1.648","1.561","28.43M","0.93%"
"02/15/2010","1.620","1.615","1.657","1.608","23.24M","0.75%"
"02/12/2010","1.608","1.672","1.688","1.601","36.18M","-3.13%"
"02/11/2010","1.660","1.715","1.729","1.637","33.03M","-2.18%"
"02/10/2010","1.697","1.667","1.724","1.652","39.90M","1.25%"
"02/09/2010","1.676","1.712","1.743","1.673","32.71M","-2.56%"
"02/08/2010","1.720","1.726","1.748","1.662","35.30M","0.47%"
"02/05/2010","1.712","1.764","1.765","1.684","55.43M","-4.25%"
"02/04/2010","1.788","1.866","1.894","1.781","29.38M","-4.59%"
"02/03/2010","1.874","1.874","1.893","1.853","26.01M","0.16%"
"02/02/2010","1.871","1.869","1.879","1.826","23.72M","-0.37%"
"02/01/2010","1.878","1.882","1.907","1.861","25.75M","-0.90%"
"01/29/2010","1.895","1.824","1.908","1.822","43.72M","4.12%"
"01/28/2010","1.820","1.898","1.907","1.817","43.66M","-2.52%"
"01/27/2010","1.867","1.930","1.938","1.866","60.06M","-4.89%"
"01/26/2010","1.963","1.978","2.003","1.919","57.48M","-0.76%"
"01/25/2010","1.978","2.044","2.112","1.962","62.75M","-3.70%"
"01/22/2010","2.054","2.077","2.110","2.045","39.91M","-1.39%"
"01/21/2010","2.083","2.172","2.176","2.044","42.06M","-3.48%"
"01/20/2010","2.158","2.218","2.222","2.154","22.11M","-2.88%"
"01/19/2010","2.222","2.212","2.272","2.162","28.27M","0.45%"
"01/18/2010","2.212","2.222","2.232","2.203","9.65M","-0.09%"
"01/15/2010","2.214","2.266","2.274","2.214","19.15M","-1.56%"
"01/14/2010","2.249","2.251","2.264","2.237","17.87M","0.85%"
"01/13/2010","2.230","2.212","2.235","2.193","17.04M","0.54%"
"01/12/2010","2.218","2.270","2.291","2.210","25.77M","-1.47%"
"01/11/2010","2.251","2.270","2.282","2.249","16.49M","-0.18%"
"01/08/2010","2.255","2.249","2.266","2.226","19.29M","0.71%"
"01/07/2010","2.239","2.245","2.257","2.222","17.98M","-0.36%"
"01/06/2010","2.247","2.232","2.251","2.224","11.76M","0.76%"
"01/05/2010","2.230","2.189","2.243","2.168","28.93M","2.48%"
"01/04/2010","2.176","2.129","2.176","2.129","13.76M","2.30%"
"12/30/2009","2.127","2.133","2.141","2.116","6.82M","-0.65%"
"12/29/2009","2.141","2.141","2.149","2.133","5.76M","0.00%"
"12/28/2009","2.141","2.152","2.156","2.133","5.29M","0.75%"
"12/23/2009","2.125","2.145","2.156","2.125","8.44M","-0.56%"
"12/22/2009","2.137","2.139","2.152","2.127","10.68M","0.38%"
"12/21/2009","2.129","2.125","2.133","2.085","15.51M","1.00%"
"12/18/2009","2.108","2.160","2.166","2.108","21.97M","-2.50%"
"12/17/2009","2.162","2.156","2.181","2.152","19.99M","-0.18%"
"12/16/2009","2.166","2.137","2.176","2.135","13.47M","1.26%"
"12/15/2009","2.139","2.158","2.162","2.122","12.98M","-0.19%"
"12/14/2009","2.143","2.139","2.158","2.133","12.69M","1.18%"
"12/11/2009","2.118","2.125","2.145","2.116","17.33M","0.00%"
"12/10/2009","2.118","2.116","2.133","2.089","19.55M","-0.09%"
"12/09/2009","2.120","2.116","2.143","2.100","25.41M","-0.70%"
"12/08/2009","2.135","2.170","2.197","2.127","19.07M","-1.97%"
"12/07/2009","2.178","2.172","2.187","2.145","19.34M","-0.59%"
"12/04/2009","2.191","2.143","2.208","2.120","31.39M","1.53%"
"12/03/2009","2.158","2.174","2.203","2.152","29.50M","0.79%"
"12/02/2009","2.141","2.143","2.168","2.104","34.88M","-0.28%"
"12/01/2009","2.147","2.081","2.147","2.077","33.55M","5.30%"
"11/30/2009","2.039","2.038","2.077","2.016","43.89M","-0.20%"
"11/27/2009","2.043","1.948","2.052","1.906","57.52M","2.20%"
"11/26/2009","1.999","2.047","2.053","1.986","26.12M","-3.06%"
"11/25/2009","2.062","2.106","2.127","2.036","40.73M","-1.62%"
"11/24/2009","2.096","2.135","2.152","2.091","28.78M","-2.47%"
"11/23/2009","2.149","2.089","2.154","2.077","25.45M","3.47%"
"11/20/2009","2.077","2.181","2.187","2.074","37.78M","-4.86%"
"11/19/2009","2.183","2.230","2.241","2.183","16.79M","-2.59%"
"11/18/2009","2.241","2.253","2.257","2.235","12.18M","0.27%"
"11/17/2009","2.235","2.249","2.270","2.235","18.24M","-1.37%"
"11/16/2009","2.266","2.255","2.272","2.243","24.71M","2.07%"
"11/13/2009","2.220","2.205","2.222","2.189","23.13M","-0.27%"
"11/12/2009","2.226","2.226","2.255","2.216","22.45M","-0.27%"
"11/11/2009","2.232","2.261","2.280","2.226","31.02M","0.00%"
"11/10/2009","2.232","2.255","2.272","2.243","24.71M","0.09%"
"11/09/2009","2.230","2.228","2.235","2.195","23.42M","1.23%"
"11/06/2009","2.203","2.230","2.266","2.168","55.72M","-1.52%"
"11/05/2009","2.237","2.199","2.322","2.170","93.56M","-0.09%"
"11/04/2009","2.239","2.178","2.251","2.174","53.35M","4.38%"
"11/03/2009","2.145","2.183","2.191","2.120","42.25M","-1.15%"
"11/02/2009","2.170","2.087","2.187","2.062","50.55M","2.94%"
"10/30/2009","2.108","2.210","2.226","2.091","58.30M","-3.61%"
"10/29/2009","2.187","2.025","2.191","1.983","80.62M","5.91%"
"10/28/2009","2.065","2.193","2.203","2.046","67.75M","-6.26%"
"10/27/2009","2.203","2.272","2.280","2.189","38.10M","-2.05%"
"10/26/2009","2.249","2.307","2.324","2.237","32.23M","-1.83%"
"10/23/2009","2.291","2.313","2.344","2.278","43.80M","1.78%"
"10/22/2009","2.251","2.243","2.274","2.220","35.78M","-1.36%"
"10/21/2009","2.282","2.328","2.342","2.178","75.96M","-2.06%"
"10/20/2009","2.330","2.365","2.378","2.322","44.50M","-0.34%"
"10/19/2009","2.338","2.295","2.340","2.280","34.40M","2.90%"
"10/16/2009","2.272","2.324","2.324","2.255","31.68M","-1.35%"
"10/15/2009","2.303","2.305","2.320","2.243","47.36M","1.63%"
"10/14/2009","2.266","2.293","2.311","2.247","50.67M","1.61%"
"10/13/2009","2.230","2.278","2.380","2.199","97.74M","-2.45%"
"10/12/2009","2.286","2.193","2.301","2.181","67.39M","6.67%"
"10/09/2009","2.143","2.024","2.178","2.017","79.06M","5.31%"
"10/08/2009","2.035","1.971","2.041","1.961","42.09M","5.06%"
"10/07/2009","1.937","1.937","1.965","1.922","24.75M","-0.15%"
"10/06/2009","1.940","1.909","1.945","1.894","20.89M","2.92%"
"10/05/2009","1.885","1.895","1.896","1.855","23.09M","0.00%"
"10/02/2009","1.885","1.937","1.955","1.861","55.78M","-4.12%"
